[2026-09-10 09:43:15] START duration_hours=6.0 interval_seconds=5 gateway=192.168.4.1 external_target=8.8.8.8
[2026-09-10 09:47:23] gateway=OK gateway_rtt=8.0ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-10 09:47:28] gateway=OK gateway_rtt=8.4ms internet=OK internet_rtt=22.1ms gateway_error=none internet_error=none
[2026-09-10 09:47:33] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=23.9ms gateway_error=none internet_error=none
[2026-09-10 09:47:38] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=20.2ms gateway_error=none internet_error=none
[2026-09-10 09:47:43] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=20.8ms gateway_error=none internet_error=none
[2026-09-10 09:47:48] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-10 09:47:53] gateway=OK gateway_rtt=8.3ms internet=OK internet_rtt=20.6ms gateway_error=none internet_error=none
[2026-09-10 09:47:58] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=35.9ms gateway_error=none internet_error=none
[2026-09-10 09:48:03] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=21.7ms gateway_error=none internet_error=none
[2026-09-10 09:48:08] gateway=OK gateway_rtt=7.3ms internet=OK internet_rtt=21.5ms gateway_error=none internet_error=none
[2026-09-10 09:48:13] gateway=OK gateway_rtt=7.7ms internet=OK internet_rtt=21.8ms gateway_error=none internet_error=none
[2026-09-10 09:48:18] gateway=OK gateway_rtt=6.7ms internet=OK internet_rtt=20.5ms gateway_error=none internet_error=none
[2026-09-10 09:48:23] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=14.7ms gateway_error=none internet_error=none
[2026-09-10 09:48:28] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=22.2ms gateway_error=none internet_error=none
[2026-09-10 09:48:33] gateway=OK gateway_rtt=7.4ms internet=OK internet_rtt=17.3ms gateway_error=none internet_error=none
[2026-09-10 09:48:39] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=18.6ms gateway_error=none internet_error=none
[2026-09-10 09:48:44] gateway=OK gateway_rtt=7.8ms internet=OK internet_rtt=14.7ms gateway_error=none internet_error=none
[2026-09-10 09:48:49] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=27.3ms gateway_error=none internet_error=none
[2026-09-10 09:48:54] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=21.6ms gateway_error=none internet_error=none
[2026-09-10 09:48:59] gateway=OK gateway_rtt=8.6ms internet=OK internet_rtt=22.0ms gateway_error=none internet_error=none
[2026-09-10 09:49:04] gateway=OK gateway_rtt=8.9ms internet=OK internet_rtt=20.9ms gateway_error=none internet_error=none
[2026-09-10 09:49:09] gateway=OK gateway_rtt=6.6ms internet=FAIL internet_rtt=N/A gateway_error=none internet_error=ping command timed out
[2026-09-10 09:49:09] EVENT_START type=INTERNET_ONLY gateway=OK internet=FAIL
[2026-09-10 09:49:19] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=22.3ms gateway_error=none internet_error=none
[2026-09-10 09:49:19] EVENT_END type=INTERNET_ONLY duration=10s gateway=OK internet=OK
[2026-09-10 09:49:24] gateway=OK gateway_rtt=10.3ms internet=OK internet_rtt=23.6ms gateway_error=none internet_error=none
[2026-09-10 09:49:29] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=17.7ms gateway_error=none internet_error=none
[2026-09-10 09:49:34] gateway=OK gateway_rtt=8.8ms internet=OK internet_rtt=21.2ms gateway_error=none internet_error=none
[2026-09-10 09:49:39] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=21.7ms gateway_error=none internet_error=none
[2026-09-10 09:49:44] gateway=OK gateway_rtt=8.2ms internet=OK internet_rtt=21.0ms gateway_error=none internet_error=none
[2026-09-10 09:49:49] gateway=OK gateway_rtt=9.3ms internet=OK internet_rtt=24.6ms gateway_error=none internet_error=none
[2026-09-10 09:49:54] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=18.8ms gateway_error=none internet_error=none
[2026-09-10 09:49:59] gateway=OK gateway_rtt=7.4ms internet=OK internet_rtt=19.1ms gateway_error=none internet_error=none
[2026-09-10 09:50:04] gateway=OK gateway_rtt=9.5ms internet=OK internet_rtt=20.5ms gateway_error=none internet_error=none
[2026-09-10 09:50:09] gateway=OK gateway_rtt=7.9ms internet=OK internet_rtt=18.8ms gateway_error=none internet_error=none
[2026-09-10 09:50:15] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=24.9ms gateway_error=none internet_error=none
[2026-09-10 09:50:20] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=21.6ms gateway_error=none internet_error=none
[2026-09-10 09:50:25] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=21.4ms gateway_error=none internet_error=none
[2026-09-10 09:50:30] gateway=OK gateway_rtt=5.5ms internet=OK internet_rtt=18.7ms gateway_error=none internet_error=none
[2026-09-10 09:50:35] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=22.5ms gateway_error=none internet_error=none
[2026-09-10 09:50:40] gateway=OK gateway_rtt=7.4ms internet=OK internet_rtt=26.7ms gateway_error=none internet_error=none
[2026-09-10 09:50:45] gateway=OK gateway_rtt=9.0ms internet=OK internet_rtt=19.0ms gateway_error=none internet_error=none
[2026-09-10 09:50:50] gateway=OK gateway_rtt=8.4ms internet=OK internet_rtt=21.1ms gateway_error=none internet_error=none
[2026-09-10 09:50:55] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=20.5ms gateway_error=none internet_error=none
[2026-09-10 09:51:00] gateway=OK gateway_rtt=7.3ms internet=OK internet_rtt=21.9ms gateway_error=none internet_error=none
[2026-09-10 09:51:05] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=24.2ms gateway_error=none internet_error=none
[2026-09-10 09:51:10] gateway=OK gateway_rtt=11.2ms internet=OK internet_rtt=18.7ms gateway_error=none internet_error=none
[2026-09-10 09:51:15] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=20.8ms gateway_error=none internet_error=none
[2026-09-10 09:51:20] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=17.8ms gateway_error=none internet_error=none
[2026-09-10 09:51:25] gateway=OK gateway_rtt=7.8ms internet=OK internet_rtt=20.9ms gateway_error=none internet_error=none
[2026-09-10 09:51:30] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=19.4ms gateway_error=none internet_error=none
[2026-09-10 09:51:35] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=20.6ms gateway_error=none internet_error=none
[2026-09-10 09:51:40] gateway=OK gateway_rtt=7.3ms internet=OK internet_rtt=20.6ms gateway_error=none internet_error=none
[2026-09-10 09:51:45] gateway=OK gateway_rtt=7.4ms internet=OK internet_rtt=20.7ms gateway_error=none internet_error=none
[2026-09-10 09:51:51] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-10 09:51:56] gateway=OK gateway_rtt=7.8ms internet=OK internet_rtt=22.8ms gateway_error=none internet_error=none
[2026-09-10 09:52:01] gateway=OK gateway_rtt=8.4ms internet=OK internet_rtt=22.9ms gateway_error=none internet_error=none
[2026-09-10 09:52:06] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=19.8ms gateway_error=none internet_error=none
[2026-09-10 09:52:11] gateway=OK gateway_rtt=6.0ms internet=OK internet_rtt=23.5ms gateway_error=none internet_error=none
[2026-09-10 09:52:16] gateway=OK gateway_rtt=8.6ms internet=OK internet_rtt=22.0ms gateway_error=none internet_error=none
[2026-09-10 09:52:21] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=28.9ms gateway_error=none internet_error=none
[2026-09-10 09:52:26] gateway=OK gateway_rtt=5.9ms internet=OK internet_rtt=18.8ms gateway_error=none internet_error=none
[2026-09-10 09:52:31] gateway=OK gateway_rtt=9.3ms internet=OK internet_rtt=16.4ms gateway_error=none internet_error=none
[2026-09-10 09:52:36] gateway=OK gateway_rtt=8.8ms internet=OK internet_rtt=21.2ms gateway_error=none internet_error=none
[2026-09-10 09:52:41] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=16.8ms gateway_error=none internet_error=none
[2026-09-10 09:52:46] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=24.5ms gateway_error=none internet_error=none
[2026-09-10 09:52:51] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=20.3ms gateway_error=none internet_error=none
[2026-09-10 09:52:56] gateway=OK gateway_rtt=8.9ms internet=OK internet_rtt=80.8ms gateway_error=none internet_error=none
[2026-09-10 09:53:01] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=18.3ms gateway_error=none internet_error=none
[2026-09-10 09:53:06] gateway=OK gateway_rtt=8.8ms internet=OK internet_rtt=21.4ms gateway_error=none internet_error=none
