[SUMMARY] Log file: /Volumes/MOVESPEED/myCode/network_monitor/network_monitor_20260909_101427.txt
[SUMMARY] Total outage events detected: 57
[SUMMARY] Event 37: type=GATEWAY_ONLY | start=2026-09-09 11:52:06 | end=2026-09-09 11:52:19 | duration=12s | gateway=FAIL->OK | internet=OK->OK
[SUMMARY] Event 38: type=BOTH_FAIL | start=2026-09-09 11:52:27 | end=2026-09-09 11:52:42 | duration=15s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 39: type=GATEWAY_ONLY | start=2026-09-09 11:55:15 | end=2026-09-09 11:55:26 | duration=10s | gateway=FAIL->OK | internet=OK->OK
[SUMMARY] Event 40: type=BOTH_FAIL | start=2026-09-09 11:55:48 | end=2026-09-09 11:56:03 | duration=15s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 41: type=GATEWAY_ONLY | start=2026-09-09 11:56:12 | end=2026-09-09 11:56:42 | duration=29s | gateway=FAIL->OK | internet=OK->OK
[SUMMARY] Event 42: type=BOTH_FAIL | start=2026-09-09 11:56:54 | end=2026-09-09 11:57:39 | duration=45s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 43: type=BOTH_FAIL | start=2026-09-09 11:57:56 | end=2026-09-09 11:58:11 | duration=15s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 44: type=BOTH_FAIL | start=2026-09-09 11:58:27 | end=2026-09-09 11:58:42 | duration=15s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 45: type=INTERNET_ONLY | start=2026-09-09 11:58:55 | end=2026-09-09 11:59:08 | duration=12s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 46: type=INTERNET_ONLY | start=2026-09-09 12:00:55 | end=2026-09-09 12:01:05 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 47: type=INTERNET_ONLY | start=2026-09-09 12:01:58 | end=2026-09-09 12:02:08 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 48: type=BOTH_FAIL | start=2026-09-09 12:08:56 | end=2026-09-09 12:09:11 | duration=15s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 49: type=GATEWAY_ONLY | start=2026-09-09 12:10:20 | end=2026-09-09 12:10:46 | duration=25s | gateway=FAIL->OK | internet=OK->OK
[SUMMARY] Event 50: type=GATEWAY_ONLY | start=2026-09-09 12:10:57 | end=2026-09-09 12:11:07 | duration=10s | gateway=FAIL->OK | internet=OK->OK
[SUMMARY] Event 51: type=BOTH_FAIL | start=2026-09-09 12:11:23 | end=2026-09-09 12:11:38 | duration=15s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 52: type=INTERNET_ONLY | start=2026-09-09 12:11:44 | end=2026-09-09 12:12:10 | duration=25s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 53: type=INTERNET_ONLY | start=2026-09-09 12:12:15 | end=2026-09-09 12:12:25 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 54: type=BOTH_FAIL | start=2026-09-09 12:12:30 | end=2026-09-09 12:13:00 | duration=30s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 55: type=BOTH_FAIL | start=2026-09-09 12:13:11 | end=2026-09-09 12:13:26 | duration=15s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 56: type=BOTH_FAIL | start=2026-09-09 12:13:32 | end=2026-09-09 12:13:47 | duration=15s | gateway=FAIL->OK | internet=FAIL->OK
[SUMMARY] Event 57: type=BOTH_FAIL | start=2026-09-09 12:14:06 | end=2026-09-09 12:14:27 | duration=20s | gateway=FAIL->FINAL | internet=FAIL->FINAL
[SUMMARY] Breakdown by failure type:
  - INTERNET_ONLY: 27 event(s)
  - GATEWAY_ONLY: 14 event(s)
  - BOTH_FAIL: 16 event(s)
