[2026-09-08 10:49:39] START duration_hours=6 interval_seconds=5 gateway=192.168.4.1 external_target=8.8.8.8
[2026-09-08 10:53:42] EVENT_START type=INTERNET_ONLY gateway=OK internet=FAIL
[2026-09-08 10:53:52] gateway=OK gateway_rtt=6.7ms internet=FAIL internet_rtt=N/A gateway_error=none internet_error=ping command timed out
[2026-09-08 10:54:02] gateway=OK gateway_rtt=6.0ms internet=OK internet_rtt=28.2ms gateway_error=none internet_error=none
[2026-09-08 10:54:02] EVENT_END type=INTERNET_ONLY duration=20s gateway=OK internet=OK
[2026-09-08 10:54:07] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=18.2ms gateway_error=none internet_error=none
[2026-09-08 10:54:12] gateway=OK gateway_rtt=8.0ms internet=OK internet_rtt=39.1ms gateway_error=none internet_error=none
[2026-09-08 10:54:17] gateway=OK gateway_rtt=5.6ms internet=OK internet_rtt=27.1ms gateway_error=none internet_error=none
[2026-09-08 10:54:22] gateway=OK gateway_rtt=5.6ms internet=OK internet_rtt=18.8ms gateway_error=none internet_error=none
[2026-09-08 10:54:27] gateway=OK gateway_rtt=7.5ms internet=OK internet_rtt=17.7ms gateway_error=none internet_error=none
[2026-09-08 10:54:32] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=186.7ms gateway_error=none internet_error=none
[2026-09-08 10:54:37] gateway=OK gateway_rtt=6.7ms internet=OK internet_rtt=16.6ms gateway_error=none internet_error=none
[2026-09-08 10:54:42] gateway=OK gateway_rtt=5.4ms internet=OK internet_rtt=23.4ms gateway_error=none internet_error=none
[2026-09-08 10:54:47] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=21.8ms gateway_error=none internet_error=none
[2026-09-08 10:54:52] gateway=OK gateway_rtt=6.7ms internet=OK internet_rtt=16.8ms gateway_error=none internet_error=none
[2026-09-08 10:54:57] gateway=OK gateway_rtt=8.2ms internet=OK internet_rtt=16.3ms gateway_error=none internet_error=none
[2026-09-08 10:55:02] gateway=OK gateway_rtt=6.7ms internet=OK internet_rtt=23.9ms gateway_error=none internet_error=none
[2026-09-08 10:55:07] gateway=OK gateway_rtt=8.3ms internet=OK internet_rtt=18.9ms gateway_error=none internet_error=none
[2026-09-08 10:55:12] gateway=OK gateway_rtt=8.3ms internet=OK internet_rtt=17.9ms gateway_error=none internet_error=none
[2026-09-08 10:55:18] gateway=OK gateway_rtt=6.9ms internet=OK internet_rtt=18.0ms gateway_error=none internet_error=none
[2026-09-08 10:55:23] gateway=OK gateway_rtt=5.7ms internet=OK internet_rtt=18.4ms gateway_error=none internet_error=none
[2026-09-08 10:55:28] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=19.0ms gateway_error=none internet_error=none
[2026-09-08 10:55:33] gateway=OK gateway_rtt=5.9ms internet=OK internet_rtt=24.5ms gateway_error=none internet_error=none
[2026-09-08 10:55:38] gateway=OK gateway_rtt=6.9ms internet=OK internet_rtt=19.5ms gateway_error=none internet_error=none
